Question	Answer	Statement	RemarkQ	RemarkA
von Behring	Diphtheria antitoxin	위 인물이 노벨상을 받은 업적은?
Ross	Work for malaria	위 인물이 노벨상을 받은 업적은?
Koch	Discoveries of tuberculosis bacterium	위 인물이 노벨상을 받은 업적은?
Metchnikoff	Phagocytosis	위 인물이 노벨상을 받은 업적은?
Paul Ehrlich	Salvarsan	위 인물이 노벨상을 받은 업적은?
Nicolle	Work for typhus	위 인물이 노벨상을 받은 업적은?
Fleming	Discovery of penicillin and its curative effect	위 인물이 노벨상을 받은 업적은?
Chain	Discovery of penicillin and its curative effect	위 인물이 노벨상을 받은 업적은?
Florey	Discovery of penicillin and its curative effect	위 인물이 노벨상을 받은 업적은?
Waksman	Discovery of streptomycin (against TB)	위 인물이 노벨상을 받은 업적은?
Delbruck	Viral replication and structure	위 인물이 노벨상을 받은 업적은?
Hershey	Viral replication and structure	위 인물이 노벨상을 받은 업적은?
Luria	Viral replication and structure	위 인물이 노벨상을 받은 업적은?
Baltimore	Discovery of reverse transcriptase	위 인물이 노벨상을 받은 업적은?
Dulbecco	Discovery of reverse transcriptase	위 인물이 노벨상을 받은 업적은?
Temin	Discovery of reverse transcriptase	위 인물이 노벨상을 받은 업적은?
Blumberg	Discovery of HBV	위 인물이 노벨상을 받은 업적은?
Gajdusek	Discovery of infectious agent of kuru	위 인물이 노벨상을 받은 업적은?		Later identified to be prions
Prusiner	Discovery of prions	위 인물이 노벨상을 받은 업적은?
Marshall	Discovery of H. pylori	위 인물이 노벨상을 받은 업적은?
Warren	Discovery of H. pylori	위 인물이 노벨상을 받은 업적은?
Hausen	Discovery of HPV causing cervical cancer	위 인물이 노벨상을 받은 업적은?
Barre-Sinoussi	Discovery of HIV	위 인물이 노벨상을 받은 업적은?
Montagnier	Discovery of HIV	위 인물이 노벨상을 받은 업적은?
Alter	Discovery of HCV	위 인물이 노벨상을 받은 업적은?
Houghton	Discovery of HCV	위 인물이 노벨상을 받은 업적은?
Rice	Discovery of HCV	위 인물이 노벨상을 받은 업적은?